bound_id,entity_type,entity_id,floor_price,ceiling_price,currency,max_daily_move_pct,max_weekly_move_pct,rounding_step,override_active,updated_at
pbd_ea9a13ee,room_type,rmt_d3c6ad86,5399.36,13318.41,INR,8,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_6634d9dc,room_type,rmt_79ee35e1,6749.20,16648.02,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_cdff906c,room_type,rmt_654f0c33,8638.97,21309.47,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_d326baca,room_type,rmt_dc3186dc,11878.58,29300.50,INR,5,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_09e1c6b1,room_type,rmt_6499086b,1331.66,3284.75,INR,5,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_38277abc,room_type,rmt_b7b6d115,1664.57,4105.95,INR,5,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_afd9aaf6,room_type,rmt_02c452c7,2130.65,5255.61,INR,15,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_29d063a9,room_type,rmt_4f3886f8,2929.65,7226.47,INR,15,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_e252060d,room_type,rmt_4d69cd72,2152.27,5308.93,INR,10,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_ae3285f3,room_type,rmt_18090453,2690.33,6636.15,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_ef13b47d,room_type,rmt_062dea81,3443.63,8494.28,INR,10,30,1.00,1,2026-08-18T10:00:00+05:30
pbd_18efef8b,room_type,rmt_a1a42253,4734.99,11679.64,INR,5,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_b05d055e,room_type,rmt_b2228b31,2658.01,6556.42,INR,10,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_c25d9a32,room_type,rmt_f01a2942,3322.51,8195.52,INR,5,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_c9c97f8f,room_type,rmt_8ca5526e,4252.81,10490.26,INR,15,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_539d19fb,room_type,rmt_6b804d20,5847.62,14424.12,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_4e31b70d,room_type,rmt_0b9115b1,5066.35,12496.99,INR,10,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_93287a48,room_type,rmt_16e525d2,6332.93,15621.23,INR,8,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_19e3ae78,room_type,rmt_4da4065d,8106.16,19995.19,INR,15,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_703c5228,room_type,rmt_1e984702,11145.97,27493.39,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_9686c07d,room_type,rmt_55863f33,1268.42,3128.76,INR,5,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_00bfe0a4,room_type,rmt_693809d0,1585.52,3910.96,INR,8,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_f4552b42,room_type,rmt_69fb5df6,2029.47,5006.03,INR,5,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_3d1b4f4f,room_type,rmt_169b1014,2790.52,6883.28,INR,15,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_a2e665cb,room_type,rmt_093f1827,4438.05,10947.19,INR,15,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_b8cea295,room_type,rmt_95c0de07,5547.56,13683.99,INR,8,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_7fa12b7c,room_type,rmt_466c1e57,7100.88,17515.50,INR,10,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_61bc8928,room_type,rmt_498722f7,9763.71,24083.82,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_f81d05df,room_type,rmt_d7fc6eac,1673.71,4128.48,INR,5,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_2acd8786,room_type,rmt_ce7264de,2092.13,5160.59,INR,8,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_78412b62,room_type,rmt_4d20e260,2677.93,6605.55,INR,5,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_8ae8d376,room_type,rmt_039a87b5,3682.16,9082.65,INR,5,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_b8792d24,room_type,rmt_cbb0df6c,2573.59,6348.18,INR,5,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_83b08901,room_type,rmt_8a3c3697,3216.98,7935.22,INR,5,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_b7eb75a6,room_type,rmt_8203d582,4117.73,10157.07,INR,10,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_e0410944,room_type,rmt_ebdd19b2,5661.89,13965.98,INR,8,25,1.00,1,2026-08-18T10:00:00+05:30
pbd_b5c5abf0,room_type,rmt_36ac3085,3733.76,9209.93,INR,10,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_6335b689,room_type,rmt_eaf663ad,4667.19,11512.40,INR,15,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_678996c7,room_type,rmt_c74c450f,5974.01,14735.88,INR,15,30,10.00,1,2026-08-18T10:00:00+05:30
pbd_918b16ec,room_type,rmt_d74c67e8,8214.26,20261.83,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_c57079f3,room_type,rmt_35141503,7877.58,19431.36,INR,5,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_bf5e9354,room_type,rmt_18d4ad52,9846.98,24289.21,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_f8426600,room_type,rmt_f3f78d57,12604.13,31090.19,INR,5,30,1.00,1,2026-08-18T10:00:00+05:30
pbd_590044a0,room_type,rmt_67dcd384,17330.68,42749.00,INR,15,25,10.00,1,2026-08-18T10:00:00+05:30
pbd_ffe8d1c1,room_type,rmt_56ab8a0a,1215.59,2998.44,INR,10,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_5ad0dd2e,room_type,rmt_87180367,1519.48,3748.04,INR,10,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_e196688a,room_type,rmt_68485f3b,1944.94,4797.51,INR,5,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_d9eff988,room_type,rmt_47767cdd,2674.28,6596.56,INR,15,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_3e660c9c,room_type,rmt_eb1e0a09,2989.80,7374.84,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_6cb64569,room_type,rmt_ce8c8b08,3737.24,9218.53,INR,5,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_397866c4,room_type,rmt_4d079c91,4783.67,11799.73,INR,5,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_f75e5be0,room_type,rmt_74cb0474,6577.55,16224.63,INR,10,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_e86f3778,room_type,rmt_bbe2ad27,2216.69,5467.84,INR,8,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_1965ae89,room_type,rmt_65be3cc2,2770.86,6834.79,INR,5,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_553840ab,room_type,rmt_32063ec7,3546.71,8748.54,INR,10,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_e3e50fdf,room_type,rmt_67acf930,4876.72,12029.24,INR,10,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_ab3e86d7,room_type,rmt_e995c07b,2586.65,6380.39,INR,10,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_007f78c0,room_type,rmt_fb35debd,3233.30,7975.48,INR,5,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_af60942e,room_type,rmt_81879895,4138.63,10208.61,INR,8,18,50.00,1,2026-08-18T10:00:00+05:30
pbd_ad0974f1,room_type,rmt_a50b1a34,5690.62,14036.86,INR,15,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_dddc9c2e,room_type,rmt_1664a3ef,2841.91,7010.04,INR,8,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_5e27897d,room_type,rmt_9a44634e,3552.38,8762.54,INR,10,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_79d5ac1b,room_type,rmt_4b888cdb,4547.05,11216.05,INR,10,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_b4593d40,room_type,rmt_4806123d,6252.19,15422.06,INR,8,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_eeb42ae9,room_type,rmt_a499242d,4851.71,11967.56,INR,5,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_fa9ee052,room_type,rmt_df2d2be7,6064.64,14959.43,INR,10,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_c576fda9,room_type,rmt_0fc40170,7762.73,19148.07,INR,5,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_42b4873a,room_type,rmt_ea1bc834,10673.76,26328.61,INR,15,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_918dba50,room_type,rmt_f8b487b4,2441.64,6022.71,INR,5,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_381d7085,room_type,rmt_6cc18233,3052.05,7528.39,INR,5,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_48b7a6c1,room_type,rmt_79b9dffc,3906.62,9636.34,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_345f3cec,room_type,rmt_f6cc532b,5371.61,13249.96,INR,8,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_778e12d7,room_type,rmt_fdc08ffa,4307.93,10626.23,INR,10,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_44e96267,room_type,rmt_ba37d6d6,5384.92,13282.80,INR,15,30,10.00,0,2026-08-18T10:00:00+05:30
