event_id,entity_type,entity_id,city_id,event_type,occurred_at,for_date,lead_time_days,channel,party_size,quoted_price,currency,converted,session_id
pev_3268e2f4,flight_fare,far_d48fc948,cty_718f03c7,search,2026-06-18T01:07:00+05:30,2026-07-02,14,web,2,1455.77,INR,0,ses_63631094c729
pev_dcdcb03a,room_type,rmt_bd238dcb,cty_43d0a650,cancellation,2025-11-28T04:55:00+05:30,2025-11-29,1,web,1,48569.87,INR,0,ses_1194f51f8dcb
pev_e423ea25,room_type,rmt_85f2c357,cty_9aa02925,booking,2026-07-31T10:13:00+05:30,2026-09-29,60,web,4,3514.06,MVR,1,ses_1210c48e9317
pev_4cb6c075,flight_fare,far_65deeddc,cty_c9f34ba7,search,2026-01-01T18:12:00+05:30,2026-05-01,120,web,1,2833.40,MYR,0,ses_200bb2bbb00d
pev_31f055c6,room_type,rmt_bff5ea54,cty_aa759717,search,2025-10-04T04:54:00+05:30,2025-10-11,7,web,2,43159.84,INR,0,ses_f12ff85c78b7
pev_ce63aec7,flight_fare,far_51ed2fd1,cty_718f03c7,search,2026-08-24T01:05:00+05:30,2026-08-25,1,mobile_app,2,38310.30,INR,0,ses_15c0d3369ad1
pev_44b62cf6,flight_fare,far_7a33b2fa,cty_f8b75f8e,search,2026-05-23T04:47:00+05:30,2026-05-26,3,web,2,,,0,ses_909bafa56726
pev_6672b164,room_type,rmt_b384b31a,cty_f288c6a0,search,2025-09-06T11:28:00+05:30,2026-01-04,120,mobile_app,1,3097.46,INR,0,ses_6f775cb2989c
pev_2dc06493,flight_fare,far_b3d3fdac,cty_7b89639e,view,2026-07-21T22:35:00+05:30,2026-08-20,30,web,1,312.49,AED,0,ses_84a3678e69e4
pev_7e291d76,flight_fare,far_9d8500f4,cty_718f03c7,search,2025-12-21T12:12:00+05:30,2025-12-28,7,web,1,,,0,ses_59b78a3c05eb
pev_1a73f2c8,room_type,rmt_fd4ca39c,cty_8b6b1652,search,2026-01-06T15:56:00+05:30,2026-01-07,1,web,1,14464.80,INR,0,ses_92c23cfe2ea7
pev_5af29eaf,room_type,rmt_038714ae,cty_ab50efee,cancellation,2026-06-18T11:56:00+05:30,2026-06-21,3,web,4,9122.79,INR,0,ses_5bdaf3c580b1
pev_0bc9a554,room_type,rmt_21ed1f88,cty_f288c6a0,search,2026-05-26T20:14:00+05:30,2026-05-27,1,partner,3,,,0,ses_311cd7aaa8df
pev_97a21d23,flight_fare,far_6e5f6f98,cty_8b6b1652,view,2026-08-14T23:31:00+05:30,2026-12-12,120,mobile_app,2,7067.75,INR,0,ses_cef9de5f50a8
pev_233bad4f,room_type,rmt_ea2548a6,cty_7cb0b529,search,2025-08-30T07:48:00+05:30,2025-09-06,7,partner,1,4345.00,INR,0,ses_214f70de177e
pev_c040e6f5,room_type,rmt_6c818289,cty_009c9fd2,search,2025-10-28T22:22:00+05:30,2025-11-04,7,call_centre,1,,,0,ses_4431a05fee81
pev_cdae2545,flight_fare,far_cc6fa0e2,cty_95e7c8ca,view,2026-08-05T00:52:00+05:30,2026-08-12,7,web,2,17755.39,INR,0,ses_92806f11834d
pev_1db38dfb,room_type,rmt_b8d9eb24,cty_828a7777,search,2025-09-03T23:18:00+05:30,2025-09-17,14,mobile_app,2,16634.65,INR,0,ses_1f33dd824699
pev_91f8dc5b,room_type,rmt_b21e09a9,cty_c9f34ba7,booking,2025-11-03T17:43:00+05:30,2025-11-17,14,web,4,4366.05,MYR,1,ses_dafbe11eb1e4
pev_f570731e,room_type,rmt_3d9c34a3,cty_f288c6a0,view,2026-07-28T06:04:00+05:30,2026-08-11,14,web,2,2589.19,INR,0,ses_fbc75602fe25
pev_2162d268,room_type,rmt_db3de30c,cty_d35a9652,booking,2025-09-26T02:51:00+05:30,2025-09-27,1,web,3,3029.42,INR,1,ses_ccaa1d0ed471
pev_424c4c35,flight_fare,far_c4064b84,cty_36afaa5c,view,2026-05-03T04:51:00+05:30,2026-05-17,14,agent,3,15577968.57,IDR,0,ses_3a9df73cbb6d
pev_0fbb1514,room_type,rmt_47227828,cty_f288c6a0,view,2025-11-17T02:02:00+05:30,2025-12-01,14,mobile_app,1,11514.87,INR,0,ses_939f38a98a03
pev_c764212c,room_type,rmt_1b8a9b54,cty_0b7f5985,cancellation,2025-11-27T22:22:00+05:30,2025-12-11,14,mobile_app,1,15208.13,CHF,0,ses_03b143280569
pev_91e3254e,flight_fare,far_4ddea2a7,cty_ab50efee,view,2026-02-12T16:26:00+05:30,2026-02-13,1,web,3,13427.44,INR,0,ses_7efe587bac43
pev_8481c401,flight_fare,far_c6b982ef,cty_0b92e2e7,view,2026-03-07T17:48:00+05:30,2026-03-21,14,mobile_app,2,32711.20,INR,0,ses_14cb3920d526
pev_52fdba1a,flight_fare,far_e255d8a9,cty_f8b75f8e,search,2026-02-16T22:55:00+05:30,2026-02-19,3,web,2,7775.22,INR,0,ses_dd727259e3a0
pev_b03a0a1a,flight_fare,far_1c865b28,cty_7cb0b529,search,2026-07-08T11:07:00+05:30,2026-08-07,30,mobile_app,2,,,0,ses_d9e6cc2c03a5
pev_fcb9793d,room_type,rmt_3882e37c,cty_7be8559f,search,2026-06-29T20:13:00+05:30,2026-10-27,120,mobile_app,3,,,0,ses_763a236e227f
pev_1992d3f8,room_type,rmt_882fcc70,cty_b6ccbb3b,search,2026-06-08T01:32:00+05:30,2026-06-09,1,mobile_app,6,,,0,ses_ea640472ba78
pev_072c7cb3,room_type,rmt_591c4f11,cty_7fc82336,search,2025-12-10T15:48:00+05:30,2026-02-08,60,web,2,,,0,ses_230f9ccf6fd7
pev_3964d71d,room_type,rmt_576ef766,cty_7be8559f,abandon,2025-12-19T20:40:00+05:30,2026-01-02,14,mobile_app,1,7325.55,INR,0,ses_84c6358640a5
pev_d6c4f361,room_type,rmt_af6204bb,cty_0b7f5985,search,2026-08-18T12:12:00+05:30,2026-12-16,120,mobile_app,2,,,0,ses_6359cfd5fec8
